config,rank,job_id,board_token,source,title,location,url,updated_at,cluster_company,cluster_title,cluster_size,sibling_job_ids,desc_chars,encoder_score,rerank_score_wide,rerank_score_refined,rerank_stage,rank_score,rank_score_kind,wide_rank,run_id,pool_n,pool_sha,code_sha,profile_sha
direct-17m,1,8068087,storyblocks,greenhouse,Platforms Engineer,"Arlington, VA or Remote",https://job-boards.greenhouse.io/storyblocks/jobs/8068087,2026-07-21T13:46:29-04:00,storyblocks,platforms engineer,1,,8363,0.5820868015289307,9.4375,,wide,9.4375,17m_logit,1,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-17m,2,R184217,maersk|wd3|maersk_careers,workday,Software Engineer - Dot Net,"India, Bengaluru, 560064",https://maersk.wd3.myworkdayjobs.com/maersk_careers/job/India-Bengaluru-560064/Software-Engineer---Dot-Net_R184217,2026-07-21T18:41:53.507717+00:00,maersk|wd3|maersk_careers,software engineer - dot net,1,,4129,0.7177788615226746,8.578125,,wide,8.578125,17m_logit,2,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-17m,3,RQ112661,bpinternational|wd3|bpcareers,workday,Software engineer,India - Pune,https://bpinternational.wd3.myworkdayjobs.com/bpcareers/job/India---Pune/Software-engineer_RQ112661,2026-07-21T17:57:15.584290+00:00,bpinternational|wd3|bpcareers,software engineer,1,,3933,0.9999997615814209,8.3828125,,wide,8.3828125,17m_logit,3,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-17m,4,R1127015,dentsuaegis|wd3|dan_global,workday,Data & AI Engineer,DGS India - Bengaluru - Manyata N1 Block,https://dentsuaegis.wd3.myworkdayjobs.com/dan_global/job/DGS-India---Bengaluru---Manyata-N1-Block/Data-Science---AI-Engineer_R1127015-1,2026-07-21T18:17:13.377147+00:00,dentsuaegis|wd3|dan_global,data & ai engineer,1,,1333,0.8021395206451416,8.2890625,,wide,8.2890625,17m_logit,4,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-17m,5,4643328006,accenturefederalservices,greenhouse,Big Data Analytic Developer - Full Stack ,"Annapolis Junction, MD",https://boards.greenhouse.io/accenturefederalservices/jobs/4643328006?gh_jid=4643328006,2026-07-20T16:29:22-04:00,accenturefederalservices,big data analytic developer - full stack,1,,7490,0.5561623573303223,8.2734375,,wide,8.2734375,17m_logit,5,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-17m,6,7775271003,oddball,greenhouse,Back End Engineer,Remote,https://job-boards.greenhouse.io/oddball/jobs/7775271003,2026-07-20T14:54:52-04:00,oddball,back end engineer,1,,3598,0.8809669017791748,8.265625,,wide,8.265625,17m_logit,6,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-17m,7,7235322,mongodb,greenhouse,"Software Engineer 3, Search Systems Replication & Routing",San Francisco,https://www.mongodb.com/careers/job/?gh_jid=7235322,2026-07-21T10:26:00-04:00,mongodb,"software engineer 3, search systems replication & routing",1,,5421,0.3780256509780884,8.1875,,wide,8.1875,17m_logit,7,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-17m,8,5309141008,procaresolutions,greenhouse,Software Engineer,"Denver, CO; Atlanta, GA ",https://job-boards.greenhouse.io/procaresolutions/jobs/5309141008,2026-07-21T11:51:17-04:00,procaresolutions,software engineer,1,,8305,0.9999998211860657,8.0625,,wide,8.0625,17m_logit,8,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-17m,9,7810360003,freeformfuturecorp,greenhouse,IT System Administrator ,"Los Angeles, CA (On-site)",https://job-boards.greenhouse.io/freeformfuturecorp/jobs/7810360003,2026-07-20T18:32:22-04:00,freeformfuturecorp,it system administrator,1,,6413,0.41022998094558716,7.9375,,wide,7.9375,17m_logit,9,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-17m,10,4022384009,arcanaanalytics,greenhouse,DevOps Engineer,Bangalore,https://job-boards.greenhouse.io/arcanaanalytics/jobs/4022384009,2026-07-21T01:00:14-04:00,arcanaanalytics,devops engineer,1,,2440,0.6478709578514099,7.89453125,,wide,7.89453125,17m_logit,10,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
