config,rank,job_id,board_token,source,title,location,url,updated_at,cluster_company,cluster_title,cluster_size,sibling_job_ids,desc_chars,encoder_score,rerank_score_wide,rerank_score_refined,rerank_stage,rank_score,rank_score_kind,wide_rank,run_id,pool_n,pool_sha,code_sha,profile_sha
direct-32m,1,5309141008,procaresolutions,greenhouse,Software Engineer,"Denver, CO; Atlanta, GA ",https://job-boards.greenhouse.io/procaresolutions/jobs/5309141008,2026-07-21T11:51:17-04:00,procaresolutions,software engineer,1,,8305,0.9999998211860657,8.84375,,wide,8.84375,32m_logit,1,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,2,R184217,maersk|wd3|maersk_careers,workday,Software Engineer - Dot Net,"India, Bengaluru, 560064",https://maersk.wd3.myworkdayjobs.com/maersk_careers/job/India-Bengaluru-560064/Software-Engineer---Dot-Net_R184217,2026-07-21T18:41:53.507717+00:00,maersk|wd3|maersk_careers,software engineer - dot net,1,,4129,0.7177788615226746,8.6328125,,wide,8.6328125,32m_logit,2,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,3,RQ112661,bpinternational|wd3|bpcareers,workday,Software engineer,India - Pune,https://bpinternational.wd3.myworkdayjobs.com/bpcareers/job/India---Pune/Software-engineer_RQ112661,2026-07-21T17:57:15.584290+00:00,bpinternational|wd3|bpcareers,software engineer,1,,3933,0.9999997615814209,8.609375,,wide,8.609375,32m_logit,3,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,4,R1127015,dentsuaegis|wd3|dan_global,workday,Data & AI Engineer,DGS India - Bengaluru - Manyata N1 Block,https://dentsuaegis.wd3.myworkdayjobs.com/dan_global/job/DGS-India---Bengaluru---Manyata-N1-Block/Data-Science---AI-Engineer_R1127015-1,2026-07-21T18:17:13.377147+00:00,dentsuaegis|wd3|dan_global,data & ai engineer,1,,1333,0.8021395206451416,8.4921875,,wide,8.4921875,32m_logit,4,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,5,8075011,babelstreet,greenhouse,Software Engineer,"Somerville, Massachusetts, United States",https://job-boards.greenhouse.io/babelstreet/jobs/8075011,2026-07-20T14:16:29-04:00,babelstreet,software engineer,1,,7525,0.9999998211860657,8.3046875,,wide,8.3046875,32m_logit,5,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,6,8068087,storyblocks,greenhouse,Platforms Engineer,"Arlington, VA or Remote",https://job-boards.greenhouse.io/storyblocks/jobs/8068087,2026-07-21T13:46:29-04:00,storyblocks,platforms engineer,1,,8363,0.5820868015289307,8.1171875,,wide,8.1171875,32m_logit,6,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,7,5430088004,vercel,greenhouse,"Software Engineer, Backend",Remote - United States,https://job-boards.greenhouse.io/vercel/jobs/5430088004,2026-07-20T19:13:52-04:00,vercel,"software engineer, backend",1,,4119,0.8705725073814392,8.0234375,,wide,8.0234375,32m_logit,7,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,8,4715753005,globalhealthcareexchangeinc,greenhouse,Software Engineer III,"Hyderabad, Telangana, India",https://job-boards.greenhouse.io/globalhealthcareexchangeinc/jobs/4715753005,2026-07-21T03:01:10-04:00,globalhealthcareexchangeinc,software engineer iii,1,,7936,0.835830807685852,7.984375,,wide,7.984375,32m_logit,8,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,9,5551619004,vercel,greenhouse,"Software Engineer, Compute",Remote - United States,https://job-boards.greenhouse.io/vercel/jobs/5551619004,2026-07-20T19:13:52-04:00,vercel,"software engineer, compute",1,,3952,0.7315866947174072,7.69921875,,wide,7.69921875,32m_logit,9,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,10,4481921005,scaleai,greenhouse,"Forward Deployed Software Engineer, Public Sector","Austin, TX; St. Louis, MO; Washington, DC",https://job-boards.greenhouse.io/scaleai/jobs/4481921005,2026-07-21T13:29:09-04:00,scaleai,"forward deployed software engineer, public sector",1,,7260,0.748952329158783,7.63671875,,wide,7.63671875,32m_logit,10,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,11,42296,guidehouse|wd1|external,workday,Software Developer,US - Remote (Any location),https://guidehouse.wd1.myworkdayjobs.com/external/job/US---Remote-Any-location/Software-Developer_42296,2026-07-21T18:28:36.833955+00:00,guidehouse|wd1|external,software developer,1,,6310,0.872922956943512,7.60546875,,wide,7.60546875,32m_logit,11,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
direct-32m,12,5633880004,vercel,greenhouse,"Software Engineer, Deployment Infrastructure","Hybrid - San Francisco, New York City",https://job-boards.greenhouse.io/vercel/jobs/5633880004,2026-07-20T19:13:52-04:00,vercel,"software engineer, deployment infrastructure",1,,5481,0.5614310503005981,7.51171875,,wide,7.51171875,32m_logit,12,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
