job_id,board_token,title,location,url,n_configs,configs,verdict
RQ112661,bpinternational|wd3|bpcareers,Software engineer,India - Pune,https://bpinternational.wd3.myworkdayjobs.com/bpcareers/job/India---Pune/Software-engineer_RQ112661,6,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-17m;direct-32m;direct-68m,
R1127015,dentsuaegis|wd3|dan_global,Data & AI Engineer,DGS India - Bengaluru - Manyata N1 Block,https://dentsuaegis.wd3.myworkdayjobs.com/dan_global/job/DGS-India---Bengaluru---Manyata-N1-Block/Data-Science---AI-Engineer_R1127015-1,6,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-17m;direct-32m;direct-68m,
4715753005,globalhealthcareexchangeinc,Software Engineer III,"Hyderabad, Telangana, India",https://job-boards.greenhouse.io/globalhealthcareexchangeinc/jobs/4715753005,6,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-17m;direct-32m;direct-68m,
R184217,maersk|wd3|maersk_careers,Software Engineer - Dot Net,"India, Bengaluru, 560064",https://maersk.wd3.myworkdayjobs.com/maersk_careers/job/India-Bengaluru-560064/Software-Engineer---Dot-Net_R184217,6,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-17m;direct-32m;direct-68m,
7235322,mongodb,"Software Engineer 3, Search Systems Replication & Routing",San Francisco,https://www.mongodb.com/careers/job/?gh_jid=7235322,6,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-17m;direct-32m;direct-68m,
7775271003,oddball,Back End Engineer,Remote,https://job-boards.greenhouse.io/oddball/jobs/7775271003,6,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-17m;direct-32m;direct-68m,
5309141008,procaresolutions,Software Engineer,"Denver, CO; Atlanta, GA ",https://job-boards.greenhouse.io/procaresolutions/jobs/5309141008,6,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-17m;direct-32m;direct-68m,
8068087,storyblocks,Platforms Engineer,"Arlington, VA or Remote",https://job-boards.greenhouse.io/storyblocks/jobs/8068087,6,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-17m;direct-32m;direct-68m,
7803020003,verisign,Java Software Engineer,"Reston,Virginia,United States",https://job-boards.greenhouse.io/verisign/jobs/7803020003,6,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-17m;direct-32m;direct-68m,
8075011,babelstreet,Software Engineer,"Somerville, Massachusetts, United States",https://job-boards.greenhouse.io/babelstreet/jobs/8075011,5,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-32m;direct-68m,
5430088004,vercel,"Software Engineer, Backend",Remote - United States,https://job-boards.greenhouse.io/vercel/jobs/5430088004,5,cascade-17m-32m;cascade-17m-68m;cascade-32m-68m;direct-32m;direct-68m,
